Standard AnaEE;Categorie(s) AnaEE;Contexte(s);prefix Entité si autre que anaee-france;Entité;prefix Caractéristique si autre que anaee-france;Caractéristique;Protocol;Qualificatifs (flexible);prefix Unité si autre que anaee-france;nom de l'unité (display name);nom varaiable (fr) dans bd;nom (fr) type de donnée dans la bd
air carbon dioxide  molar fraction;meteorology, carbon cycle;atmosphere, air;;carbon dioxyde;;molar fraction;;half-hourly average;;micromole per mole;CO2;Flux tours
air water vapour molar fraction;meteorology, water cycle;atmosphere, air;;water;;molar fraction;;half-hourly average;;millimole per mole;H2O;Flux tours
atmospheric air  stability parameter;meteorology, surface energy balance;atmosphere;;air;;stability parameter;;half-hourly average;;unitless;ZL;Flux tours
net carbon dioxide  flux density above the ecosystem;surface flux, carbon cycle;top of ecosystem;;carbon dioxyde;;mass flux density;;half-hourly average;;micromole per meter squared per second;Fc;Flux tours
net carbon dioxide  flux density above the ecosystem;surface flux, carbon cycle;top of ecosystem;;carbon dioxyde;;molar flux density;gapfilled;half-hourly average;;micromole per meter squared and per second;Fc gf;Flux tours
sensible heat energy flux density;surface flux, surface energy balance;top of ecosystem;;sensible heat;;energy flux density;;half-hourly average;;watt per meter squared;H;Flux tours
latent heat energy flux density;surface flux, surface energy balance;top of ecosystem;;latent heat;;energy flux density;;half-hourly average;;watt per meter squared;LE;Flux tours
air momentum flux density;surface flux, Atmospheric convection;atmosphere, air;;momentum;;momentum flux density;;half-hourly average;;kilogram per meter per second squared;t;Flux tours
wind friction velocity;meteorology, Atmospheric convection;atmosphere, air;;wind;;friction velocity;;half-hourly average;oboe-standards;meter per second;u*;Flux tours
stand transpiration flux;surface flux, water cycle;stand;;transpiration;;volumetric flux;;half-hourly cumulative;;milliliter per meter squared;TR;Flux tours
biomass canopy heat storage flux density;surface flux, surface energy balance;vegetation cover, biomass;;heat storage;;energy flux density;;half-hourly average;;watt per meter squared;Sb;Flux tours
air vegetation carbon dioxide storage flux density;surface flux, carbon cycle;vegetation cover, air;;carbon dioxyde storage;;mass flux density;;half-hourly average;;micromole per meter squared per second;Sc;Flux tours
air vegetation latent heat storage flux density;surface flux, surface energy balance;vegetation cover, air;;latent heat storage;;energy flux density;;half-hourly average;;watt per meter squared;Sw;Flux tours
air vegetation sensible heat storage flux density;surface flux, surface energy balance;vegetation cover, air;;sensible heat storage;;energy flux density;;half-hourly average;;watt per meter squared;Sa;Flux tours
reflected shortwave radiation flux density;surface flux, surface energy balance;atmosphere, surface;;reflected shortwave radiation;;energy flux density;;half-hourly average;;watt per meter squared;Rr;Météorologie semi-horaire
upward longwave radiation flux density;surface flux, surface energy balance;atmosphere, surface;;upward longwave radiation;;energy flux density;;half-hourly average;;watt per meter squared;LWout;Météorologie semi-horaire
net radiation flux density;surface flux, surface energy balance;surface;;net radiation;;energy flux density;;half-hourly average;;watt per meter squared;Rn;Météorologie semi-horaire
diffuse incident shortwave radiation flux density;meteorology, surface energy balance;atmosphere;;diffuse incident shortwave radiation;;energy flux density;;half-hourly average;;watt per meter squared;Rd;Météorologie semi-horaire
incident photosynthetically active radiation molar flux density;meteorology, photosynthesis;atmosphere;;incident photosynthetically active radiation;;molar flux density;;half-hourly average;;micromole per meter squared per second;PAR;Météorologie semi-horaire
diffuse incident photosynthetically active radiation flux density;meteorology, photosynthesis;atmosphere;;diffuse incident photosynthetically active radiation;;molar flux density;;half-hourly average;;micromole per meter squared per second;PPFDd;Météorologie semi-horaire
reflected photosynthetically active radiation flux density;surface flux, photosynthesis;atmosphere;;reflected photosynthetically active radiation;;molar flux density;;half-hourly average;;micromole per meter squared per second;PARr;Météorologie semi-horaire
cumulative rainfall;meteorology, water cycle;;;cumulative rain;;volume per surface;;half-hourly cumulative;oboe-standards;millimeter;P;Météorologie semi-horaire
Incident shortwave radiation flux density;meteorology, surface energy balance;atmosphere;;incident shortwave radiation;;energy flux density;;half-hourly average;;watt per meter squared;Rg;Météorologie semi-horaire
incident longwave radiation flux density;meteorology, surface energy balance;atmosphere;;incident longwave radiation;;energy flux density;;half-hourly average;;watt per meter squared;LWin;Météorologie semi-horaire
air temperature;meteorology;atmosphere;;air;oboe-characteristics;temperature;;half-hourly average;;degree celsius;Ta;Météorologie semi-horaire
air relative humidity;meteorology, water cycle;atmosphere, air;;water vapour;;relative humidity;;half-hourly average;;percent;Rh;Météorologie semi-horaire
air pressure;meteorology;atmosphere;;air;oboe-characteristics;pressure;;half-hourly average;oboe-standards;kilopascal;Pa;Météorologie semi-horaire
wind direction;meteorology, atmospheric convection;atmosphere;;wind;;direction;;half-hourly average;oboe-standards;degree;WD;Météorologie semi-horaire
horizontal wind speed;meteorology, atmospheric convection;atmosphere;;wind;;horizontal speed;;half-hourly average;oboe-standards;meter per second;WS;Météorologie semi-horaire
soil albedo;surface flux, surface energy balance;soil;;soil surface;;albedo;;half-hourly average;;ratio0-1;albedo;Météorologie semi-horaire
soil temperature;soil physic, heat flow;soil;;soil level;;temperature;;half-hourly average;oboe-standards;kelvin;Tg;Météorologie semi-horaire
